Codice ISTAT;Descrizione ISTAT;Ateco description;Codice Completo;Codice Dotless;Codice REA (solo num)
46.18.24;Mediatori in elettronica di consumo audio e video, materiale elettrico per uso domestico, elettrodomestici;Mediators in audio and video consumer electronics, household electrical equipment, and household appliances;G.46.18.24;G461824;461824
46.18.3;Intermediari del commercio di prodotti farmaceutici e di cosmetici;Intermediaries in the trade of pharmaceutical and cosmetic products;G.46.18.3;G46183;46183
46.18.31;"Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico";"Agents and representatives of pharmaceutical products; herbal products for medical use";G.46.18.31;G461831;461831
46.18.32;"Agenti e rappresentanti di prodotti sanitari ed apparecchi medicali, chirurgici e ortopedici; apparecchi per centri di estetica";"Agents and representatives of health products and medical, surgical and orthopedic devices; devices for beauty centers";G.46.18.32;G461832;461832
46.18.33;"Agenti e rappresentanti di prodotti di profumeria e di cosmetica (inclusi articoli per parrucchieri); prodotti di erboristeria per uso cosmetico";"Agents and representatives of perfumery and cosmetic products (including hairdressing articles); herbal products for cosmetic use";G.46.18.33;G461833;461833
46.18.34;Procacciatori d'affari di prodotti farmaceutici e di cosmetici;Business agents for pharmaceutical and cosmetic products;G.46.18.34;G461834;461834
46.18.35;Mediatori in prodotti farmaceutici e cosmetici;Pharmaceutical and cosmetic product brokers;G.46.18.35;G461835;461835
46.18.9;Intermediari del commercio di attrezzature sportive, biciclette e altri prodotti n.c.a.;Agents involved in the sale of sports equipment, bicycles and other products n.e.c.;G.46.18.9;G46189;46189
46.18.91;"Agenti e rappresentanti di attrezzature sportive; biciclette";"Sports equipment agents and representatives; bicycles";G.46.18.91;G461891;461891
46.18.92;Agenti e rappresentanti di orologi, oggetti e semilavorati per gioielleria e oreficeria;Agents and representatives of watches, objects and semi-finished products for jewelry and goldsmiths;G.46.18.92;G461892;461892
46.18.93;"Agenti e rappresentanti di articoli fotografici, ottici e prodotti simili; strumenti scientifici e per laboratori di analisi";"Agents and representatives of photographic, optical and similar products; scientific and laboratory analysis instruments";G.46.18.93;G461893;461893
46.18.94;Agenti e rappresentanti di saponi, detersivi, candele e prodotti simili;Agents and representatives of soaps, detergents, candles and similar products;G.46.18.94;G461894;461894
46.18.95;Agenti e rappresentanti di giocattoli;Toy agents and representatives;G.46.18.95;G461895;461895
46.18.96;Agenti e rappresentanti di chincaglieria e bigiotteria;Agents and representatives of trinkets and costume jewelry;G.46.18.96;G461896;461896
46.18.97;Agenti e rappresentanti di altri prodotti non alimentari n.c.a. (inclusi gli imballaggi e gli articoli antinfortunistici, antincendio e pubblicitari);Agents and representatives of other non-food products n.e.c. (including packaging and accident prevention, fire prevention and advertising articles);G.46.18.97;G461897;461897
46.18.98;Procacciatori d'affari di attrezzature sportive, biciclette e altri prodotti n.c.a.;Business agents of sports equipment, bicycles and other products n.e.c.;G.46.18.98;G461898;461898
46.18.99;Mediatori in attrezzature sportive, biciclette e altri prodotti n.c.a.;Agents in sports equipment, bicycles and other products n.e.c.;G.46.18.99;G461899;461899
46.19;Intermediari del commercio di vari prodotti senza prevalenza di alcuno;Intermediaries in the trade of various products without any one prevailing;G.46.19;G4619;4619
46.19.0;Intermediari del commercio di vari prodotti senza prevalenza di alcuno;Intermediaries in the trade of various products without any one prevailing;G.46.19.0;G46190;46190
46.19.01;Agenti e rappresentanti di vari prodotti senza prevalenza di alcuno;Agents and representatives of various products without any prevalence;G.46.19.01;G461901;461901
46.19.02;Procacciatori d'affari di vari prodotti senza prevalenza di alcuno;Business agents of various products without any predominance;G.46.19.02;G461902;461902
46.19.03;Mediatori in vari prodotti senza prevalenza di alcuno;Mediators in various products without any one prevailing;G.46.19.03;G461903;461903
46.19.04;"Gruppi di acquisto; mandatari agli acquisti; buyer";"Purchasing groups; purchasing agents; buyers";G.46.19.04;G461904;461904
46.2;COMMERCIO ALL'INGROSSO DI MATERIE PRIME AGRICOLE E DI ANIMALI VIVI;WHOLESALE TRADE OF AGRICULTURAL RAW MATERIALS AND LIVE ANIMALS;G.46.2;G462;462
46.21;Commercio all'ingrosso di cereali, tabacco grezzo, sementi e alimenti per il bestiame (mangimi);Wholesale of cereals, raw tobacco, seeds and livestock feed;G.46.21;G4621;4621
46.21.1;Commercio all'ingrosso di cereali e legumi secchi;Wholesale trade of cereals and dried legumes;G.46.21.1;G46211;46211
46.21.10;Commercio all'ingrosso di cereali e legumi secchi;Wholesale trade of cereals and dried legumes;G.46.21.10;G462110;462110
46.21.2;Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina, tabacco grezzo;Wholesale of seeds and livestock feed (feed), medicinal plants, oilseeds, seed potatoes, raw tobacco;G.46.21.2;G46212;46212
46.21.21;Commercio all'ingrosso di tabacco grezzo;Wholesale trade of raw tobacco;G.46.21.21;G462121;462121
46.21.22;Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina;Wholesale of seeds and livestock feed (feed), medicinal plants, oilseeds, seed potatoes;G.46.21.22;G462122;462122
46.22;Commercio all'ingrosso di fiori e piante;Wholesale trade of flowers and plants;G.46.22;G4622;4622
46.22.0;Commercio all'ingrosso di fiori e piante;Wholesale trade of flowers and plants;G.46.22.0;G46220;46220
46.22.00;Commercio all'ingrosso di fiori e piante;Wholesale trade of flowers and plants;G.46.22.00;G462200;462200
46.23;Commercio all'ingrosso di animali vivi;Wholesale trade of live animals;G.46.23;G4623;4623
46.23.0;Commercio all'ingrosso di animali vivi;Wholesale trade of live animals;G.46.23.0;G46230;46230
46.23.00;Commercio all'ingrosso di animali vivi;Wholesale trade of live animals;G.46.23.00;G462300;462300
46.24;Commercio all'ingrosso di pelli e cuoio;Wholesale trade of hides and leather;G.46.24;G4624;4624
46.24.1;Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria);Wholesale of raw and processed leather and hides (excluding fur skins);G.46.24.1;G46241;46241
46.24.10;Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria);Wholesale of raw and processed leather and hides (excluding fur skins);G.46.24.10;G462410;462410
46.24.2;Commercio all'ingrosso di pelli gregge e lavorate per pellicceria;Wholesale trade of raw and processed fur skins;G.46.24.2;G46242;46242
46.24.20;Commercio all'ingrosso di pelli gregge e lavorate per pellicceria;Wholesale trade of raw and processed fur skins;G.46.24.20;G462420;462420
46.3;COMMERCIO ALL'INGROSSO DI PRODOTTI ALIMENTARI, BEVANDE E PRODOTTI DEL TABACCO;WHOLESALE TRADE OF FOOD, BEVERAGES AND TOBACCO PRODUCTS;G.46.3;G463;463
46.31;Commercio all'ingrosso di frutta e ortaggi freschi o conservati;Wholesale trade of fresh or preserved fruit and vegetables;G.46.31;G4631;4631
46.31.1;Commercio all'ingrosso di frutta e ortaggi freschi;Wholesale trade of fresh fruit and vegetables;G.46.31.1;G46311;46311
46.31.10;Commercio all'ingrosso di frutta e ortaggi freschi;Wholesale trade of fresh fruit and vegetables;G.46.31.10;G463110;463110
46.31.2;Commercio all'ingrosso di frutta e ortaggi conservati;Wholesale trade of preserved fruit and vegetables;G.46.31.2;G46312;46312
46.31.20;Commercio all'ingrosso di frutta e ortaggi conservati;Wholesale trade of preserved fruit and vegetables;G.46.31.20;G463120;463120
46.32;Commercio all'ingrosso di carne e di prodotti a base di carne;Wholesale trade of meat and meat products;G.46.32;G4632;4632
46.32.1;Commercio all'ingrosso di carne fresca, congelata e surgelata;Wholesale of fresh, frozen, and deep-frozen meat;G.46.32.1;G46321;46321
46.32.10;Commercio all'ingrosso di carne fresca, congelata e surgelata;Wholesale of fresh, frozen, and deep-frozen meat;G.46.32.10;G463210;463210
46.32.2;Commercio all'ingrosso di prodotti di salumeria;Wholesale trade of delicatessen products;G.46.32.2;G46322;46322
46.32.20;Commercio all'ingrosso di prodotti di salumeria;Wholesale trade of delicatessen products;G.46.32.20;G463220;463220
46.33;Commercio all'ingrosso di prodotti lattiero-caseari, uova, oli e grassi commestibili;Wholesale of dairy products, eggs, edible oils and fats;G.46.33;G4633;4633
46.33.1;Commercio all'ingrosso di prodotti lattiero-caseari e di uova;Wholesale trade of dairy products and eggs;G.46.33.1;G46331;46331
46.33.10;Commercio all'ingrosso di prodotti lattiero-caseari e di uova;Wholesale trade of dairy products and eggs;G.46.33.10;G463310;463310
46.33.2;Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale;Wholesale of edible oils and fats of vegetable or animal origin;G.46.33.2;G46332;46332
46.33.20;Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale;Wholesale of edible oils and fats of vegetable or animal origin;G.46.33.20;G463320;463320
46.34;Commercio all'ingrosso di bevande;Wholesale trade of beverages;G.46.34;G4634;4634
46.34.1;Commercio all'ingrosso di bevande alcoliche;Wholesale trade of alcoholic beverages;G.46.34.1;G46341;46341
46.34.10;Commercio all'ingrosso di bevande alcoliche;Wholesale trade of alcoholic beverages;G.46.34.10;G463410;463410
46.34.2;Commercio all'ingrosso di bevande non alcoliche;Wholesale of non-alcoholic beverages;G.46.34.2;G46342;46342
46.34.20;Commercio all'ingrosso di bevande non alcoliche;Wholesale of non-alcoholic beverages;G.46.34.20;G463420;463420
46.35;Commercio all'ingrosso di prodotti del tabacco;Wholesale trade of tobacco products;G.46.35;G4635;4635
46.35.0;Commercio all'ingrosso di prodotti del tabacco;Wholesale trade of tobacco products;G.46.35.0;G46350;46350
46.35.00;Commercio all'ingrosso di prodotti del tabacco;Wholesale trade of tobacco products;G.46.35.00;G463500;463500
46.36;Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno;Wholesale of sugar, chocolate, confectionery and baked goods;G.46.36;G4636;4636
46.36.0;Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno;Wholesale of sugar, chocolate, confectionery and baked goods;G.46.36.0;G46360;46360
46.36.00;Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno;Wholesale of sugar, chocolate, confectionery and baked goods;G.46.36.00;G463600;463600
46.37;Commercio all'ingrosso di caffè, tè, cacao e spezie;Wholesale of coffee, tea, cocoa and spices;G.46.37;G4637;4637
46.37.0;Commercio all'ingrosso di caffè, tè, cacao e spezie;Wholesale of coffee, tea, cocoa and spices;G.46.37.0;G46370;46370
46.37.01;Commercio all'ingrosso di caffè;Coffee wholesale;G.46.37.01;G463701;463701
46.37.02;Commercio all'ingrosso di tè, cacao e spezie;Wholesale of tea, cocoa and spices;G.46.37.02;G463702;463702
46.38;Commercio all'ingrosso di altri prodotti alimentari, inclusi pesci, crostacei e molluschi;Wholesale of other food products, including fish, crustaceans and molluscs;G.46.38;G4638;4638
46.38.1;Commercio all'ingrosso di prodotti della pesca freschi;Wholesale of fresh fish products;G.46.38.1;G46381;46381
46.38.10;Commercio all'ingrosso di prodotti della pesca freschi;Wholesale of fresh fish products;G.46.38.10;G463810;463810
46.38.2;Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi;Wholesale of frozen, deep-frozen, preserved, and dried fishery products;G.46.38.2;G46382;46382
46.38.20;Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi;Wholesale of frozen, deep-frozen, preserved, and dried fishery products;G.46.38.20;G463820;463820
46.38.3;Commercio all'ingrosso di pasti e piatti pronti;Wholesale trade of ready-made meals and dishes;G.46.38.3;G46383;46383
46.38.30;Commercio all'ingrosso di pasti e piatti pronti;Wholesale trade of ready-made meals and dishes;G.46.38.30;G463830;463830
46.38.9;Commercio all'ingrosso di altri prodotti alimentari;Wholesale of other food products;G.46.38.9;G46389;46389
46.38.90;Commercio all'ingrosso di altri prodotti alimentari;Wholesale of other food products;G.46.38.90;G463890;463890
46.39;Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacco;Non-specialized wholesale trade of food, beverages and tobacco;G.46.39;G4639;4639
46.39.1;Commercio all'ingrosso non specializzato di prodotti surgelati;Non-specialized wholesale trade of frozen products;G.46.39.1;G46391;46391
46.39.10;Commercio all'ingrosso non specializzato di prodotti surgelati;Non-specialized wholesale trade of frozen products;G.46.39.10;G463910;463910
46.39.2;Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco;Non-specialized wholesale trade of other food products, beverages and tobacco;G.46.39.2;G46392;46392
46.39.20;Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco;Non-specialized wholesale trade of other food products, beverages and tobacco;G.46.39.20;G463920;463920
